"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 28 11:23:18 GMT 2024","Mon Oct 28 11:23:18 GMT 2024","3","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getAuctionKoiIsNotSold","getAuctionKoiIsNotSold()",""
"passed","Mon Oct 28 11:22:46 GMT 2024","Mon Oct 28 11:22:46 GMT 2024","5","","com.swp391.koibe.controllers.OAuth2ControllerTest","","com.swp391.koibe.controllers.OAuth2ControllerTest","getGoogleClientId","getGoogleClientId()",""
"passed","Mon Oct 28 11:22:51 GMT 2024","Mon Oct 28 11:22:51 GMT 2024","3","","com.swp391.koibe.controllers.PaymentControllerTest","","com.swp391.koibe.controllers.PaymentControllerTest","updatePaymentStatus","updatePaymentStatus()",""
"passed","Mon Oct 28 11:22:47 GMT 2024","Mon Oct 28 11:22:47 GMT 2024","3","","com.swp391.koibe.controllers.OrderControllerTest","","com.swp391.koibe.controllers.OrderControllerTest","getOrder","getOrder()",""
"passed","Mon Oct 28 11:23:09 GMT 2024","Mon Oct 28 11:23:09 GMT 2024","3","","com.swp391.koibe.services.user.UserServiceTest","","com.swp391.koibe.services.user.UserServiceTest","findAll","findAll()",""
"passed","Mon Oct 28 11:22:46 GMT 2024","Mon Oct 28 11:22:46 GMT 2024","6","","com.swp391.koibe.controllers.CategoryControllerTest","","com.swp391.koibe.controllers.CategoryControllerTest","createCategory","createCategory()",""
"passed","Mon Oct 28 11:23:05 GMT 2024","Mon Oct 28 11:23:05 GMT 2024","5","","com.swp391.koibe.services.feedback.FeedbackServiceTest","","com.swp391.koibe.services.feedback.FeedbackServiceTest","getAllFeedbacks","getAllFeedbacks()",""
"passed","Mon Oct 28 11:22:46 GMT 2024","Mon Oct 28 11:22:46 GMT 2024","9","","com.swp391.koibe.controllers.StaffControllerTest","","com.swp391.koibe.controllers.StaffControllerTest","createStaff","createStaff()",""
"passed","Mon Oct 28 11:23:12 GMT 2024","Mon Oct 28 11:23:12 GMT 2024","6","","com.swp391.koibe.services.user.member.MemberServiceTest","","com.swp391.koibe.services.user.member.MemberServiceTest","findById","findById()",""
"passed","Mon Oct 28 11:23:09 GMT 2024","Mon Oct 28 11:23:09 GMT 2024","4","","com.swp391.koibe.services.user.UserServiceTest","","com.swp391.koibe.services.user.UserServiceTest","blockOrEnable","blockOrEnable()",""
"passed","Mon Oct 28 11:23:09 GMT 2024","Mon Oct 28 11:23:09 GMT 2024","5","","com.swp391.koibe.services.order.OrderServiceTest","","com.swp391.koibe.services.order.OrderServiceTest","testCreateOrder","testCreateOrder()",""
"passed","Mon Oct 28 11:23:05 GMT 2024","Mon Oct 28 11:23:05 GMT 2024","16","","com.swp391.koibe.services.koi.KoiServiceTest","","com.swp391.koibe.services.koi.KoiServiceTest","testGetAllKois","testGetAllKois()",""
