"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","getBreeder()","","Wed Nov 06 10:42:54 GMT 2024","passed","Wed Nov 06 10:42:54 GMT 2024","","com.swp391.koibe.controllers.BreederControllerTest","com.swp391.koibe.controllers.BreederControllerTest","getBreeder"
"","3","verifyOtpIsCorrect()","","Wed Nov 06 10:43:17 GMT 2024","passed","Wed Nov 06 10:43:17 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","verifyOtpIsCorrect"
"","4","updateAuctionStatus()","","Wed Nov 06 10:43:23 GMT 2024","passed","Wed Nov 06 10:43:23 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","updateAuctionStatus"
"","10","updateFeedback()","","Wed Nov 06 10:43:13 GMT 2024","passed","Wed Nov 06 10:43:13 GMT 2024","","com.swp391.koibe.services.feedback.FeedbackServiceTest","com.swp391.koibe.services.feedback.FeedbackServiceTest","updateFeedback"
"","33","testDeleteRole_Success()","","Wed Nov 06 10:42:58 GMT 2024","passed","Wed Nov 06 10:42:58 GMT 2024","","com.swp391.koibe.controllers.RoleControllerTest","com.swp391.koibe.controllers.RoleControllerTest","testDeleteRole_Success"
"","4","updateOrderStatusAndShipDate()","","Wed Nov 06 10:43:17 GMT 2024","passed","Wed Nov 06 10:43:17 GMT 2024","","com.swp391.koibe.services.order.OrderServiceTest","com.swp391.koibe.services.order.OrderServiceTest","updateOrderStatusAndShipDate"
"","5","deleteFeedback()","","Wed Nov 06 10:43:13 GMT 2024","passed","Wed Nov 06 10:43:13 GMT 2024","","com.swp391.koibe.services.feedback.FeedbackServiceTest","com.swp391.koibe.services.feedback.FeedbackServiceTest","deleteFeedback"
"","41","getBidHistoryById()","","Wed Nov 06 10:43:13 GMT 2024","passed","Wed Nov 06 10:43:13 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","getBidHistoryById"
"","4","getKoisByBreederId()","","Wed Nov 06 10:42:54 GMT 2024","passed","Wed Nov 06 10:42:54 GMT 2024","","com.swp391.koibe.controllers.BreederControllerTest","com.swp391.koibe.controllers.BreederControllerTest","getKoisByBreederId"
"","5","getPaymentsByKeywordAndStatus()","","Wed Nov 06 10:43:08 GMT 2024","passed","Wed Nov 06 10:43:08 GMT 2024","","com.swp391.koibe.services.payment.PaymentServiceTest","com.swp391.koibe.services.payment.PaymentServiceTest","getPaymentsByKeywordAndStatus"
"","4","updateDescendAuctionKoiPrice()","","Wed Nov 06 10:43:25 GMT 2024","passed","Wed Nov 06 10:43:25 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","updateDescendAuctionKoiPrice"
"","17","createNewStaff()","","Wed Nov 06 10:42:53 GMT 2024","passed","Wed Nov 06 10:42:53 GMT 2024","","com.swp391.koibe.controllers.StaffControllerTest","com.swp391.koibe.controllers.StaffControllerTest","createNewStaff"
"","4","setTokenExpired()","","Wed Nov 06 10:43:02 GMT 2024","passed","Wed Nov 06 10:43:02 GMT 2024","","com.swp391.koibe.services.token.TokenServiceTest","com.swp391.koibe.services.token.TokenServiceTest","setTokenExpired"
"","5","getUnverifiedKoisByKeyword()","","Wed Nov 06 10:42:53 GMT 2024","passed","Wed Nov 06 10:42:54 GMT 2024","","com.swp391.koibe.controllers.KoiControllerTest","com.swp391.koibe.controllers.KoiControllerTest","getUnverifiedKoisByKeyword"
"","4","getBreederKoiListByStatus()","","Wed Nov 06 10:42:54 GMT 2024","passed","Wed Nov 06 10:42:54 GMT 2024","","com.swp391.koibe.controllers.KoiControllerTest","com.swp391.koibe.controllers.KoiControllerTest","getBreederKoiListByStatus"
"","4","getOrdersByKeyword()","","Wed Nov 06 10:42:54 GMT 2024","passed","Wed Nov 06 10:42:54 GMT 2024","","com.swp391.koibe.controllers.OrderControllerTest","com.swp391.koibe.controllers.OrderControllerTest","getOrdersByKeyword"
"","5","getAuctionHandledByStaff()","","Wed Nov 06 10:42:54 GMT 2024","passed","Wed Nov 06 10:42:54 GMT 2024","","com.swp391.koibe.controllers.AuctionControllerTest","com.swp391.koibe.controllers.AuctionControllerTest","getAuctionHandledByStaff"
"","3","getAllAuctions()","","Wed Nov 06 10:42:58 GMT 2024","passed","Wed Nov 06 10:42:58 GMT 2024","","com.swp391.koibe.controllers.AuctionKoiControllerTest","com.swp391.koibe.controllers.AuctionKoiControllerTest","getAllAuctions"
"","5","getAuctionKoisByAuctionId()","","Wed Nov 06 10:42:58 GMT 2024","passed","Wed Nov 06 10:42:58 GMT 2024","","com.swp391.koibe.controllers.AuctionKoiControllerTest","com.swp391.koibe.controllers.AuctionKoiControllerTest","getAuctionKoisByAuctionId"
"","3","getUserById()","","Wed Nov 06 10:43:17 GMT 2024","passed","Wed Nov 06 10:43:17 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","getUserById"
"","4","updateAuctionKoi()","","Wed Nov 06 10:42:58 GMT 2024","passed","Wed Nov 06 10:42:58 GMT 2024","","com.swp391.koibe.controllers.AuctionKoiControllerTest","com.swp391.koibe.controllers.AuctionKoiControllerTest","updateAuctionKoi"
"","5","getAllBidHistories()","","Wed Nov 06 10:43:13 GMT 2024","passed","Wed Nov 06 10:43:13 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","getAllBidHistories"
"","3","getOtpByEmailOtp()","","Wed Nov 06 10:43:25 GMT 2024","passed","Wed Nov 06 10:43:25 GMT 2024","","com.swp391.koibe.services.otp.OtpServiceTest","com.swp391.koibe.services.otp.OtpServiceTest","getOtpByEmailOtp"
"","6","getAuctionByKeyword()","","Wed Nov 06 10:43:23 GMT 2024","passed","Wed Nov 06 10:43:23 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","getAuctionByKeyword"
"","4","getById()","","Wed Nov 06 10:43:23 GMT 2024","passed","Wed Nov 06 10:43:23 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","getById"
"","3","convertToBidDTO()","","Wed Nov 06 10:43:28 GMT 2024","passed","Wed Nov 06 10:43:28 GMT 2024","","com.swp391.koibe.utils.DTOConverterTest","com.swp391.koibe.utils.DTOConverterTest","convertToBidDTO"
"","4","handleVNPayReturn()","","Wed Nov 06 10:42:58 GMT 2024","passed","Wed Nov 06 10:42:58 GMT 2024","","com.swp391.koibe.controllers.PaymentControllerTest","com.swp391.koibe.controllers.PaymentControllerTest","handleVNPayReturn"
"","3","verifiedUser()","","Wed Nov 06 10:42:58 GMT 2024","passed","Wed Nov 06 10:42:58 GMT 2024","","com.swp391.koibe.controllers.UserControllerTest","com.swp391.koibe.controllers.UserControllerTest","verifiedUser"
"","3","createAuctionKoi()","","Wed Nov 06 10:43:25 GMT 2024","passed","Wed Nov 06 10:43:26 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","createAuctionKoi"
