"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","sendEmailOtp()","","Mon Nov 11 01:46:45 GMT 2024","passed","Mon Nov 11 01:46:45 GMT 2024","","com.swp391.koibe.services.forgotpassword.ForgotPasswordServiceTest","com.swp391.koibe.services.forgotpassword.ForgotPasswordServiceTest","sendEmailOtp"
"","3","createOrderForAuctionKoi()","","Mon Nov 11 01:46:40 GMT 2024","passed","Mon Nov 11 01:46:40 GMT 2024","","com.swp391.koibe.services.order.OrderServiceTest","com.swp391.koibe.services.order.OrderServiceTest","createOrderForAuctionKoi"
"","5","getAllKoisByKeyword()","","Mon Nov 11 01:46:19 GMT 2024","passed","Mon Nov 11 01:46:19 GMT 2024","","com.swp391.koibe.controllers.KoiControllerTest","com.swp391.koibe.controllers.KoiControllerTest","getAllKoisByKeyword"
"","3","notifyUsersAboutUpcomingAuctions()","","Mon Nov 11 01:46:45 GMT 2024","passed","Mon Nov 11 01:46:45 GMT 2024","","com.swp391.koibe.services.auction.AuctionMailServiceTest","com.swp391.koibe.services.auction.AuctionMailServiceTest","notifyUsersAboutUpcomingAuctions"
"","14","testDeleteRole()","","Mon Nov 11 01:46:32 GMT 2024","passed","Mon Nov 11 01:46:32 GMT 2024","","com.swp391.koibe.services.role.RoleServiceTest","com.swp391.koibe.services.role.RoleServiceTest","testDeleteRole"
"","6","getKoisByBreederId()","","Mon Nov 11 01:46:19 GMT 2024","passed","Mon Nov 11 01:46:19 GMT 2024","","com.swp391.koibe.controllers.BreederControllerTest","com.swp391.koibe.controllers.BreederControllerTest","getKoisByBreederId"
"","4","authenticateGoogle()","","Mon Nov 11 01:46:19 GMT 2024","passed","Mon Nov 11 01:46:19 GMT 2024","","com.swp391.koibe.controllers.OAuth2ControllerTest","com.swp391.koibe.controllers.OAuth2ControllerTest","authenticateGoogle"
"","5","getPaymentsByUserId()","","Mon Nov 11 01:46:32 GMT 2024","passed","Mon Nov 11 01:46:32 GMT 2024","","com.swp391.koibe.services.payment.PaymentServiceTest","com.swp391.koibe.services.payment.PaymentServiceTest","getPaymentsByUserId"
"","4","getAllStaffs()","","Mon Nov 11 01:46:19 GMT 2024","passed","Mon Nov 11 01:46:19 GMT 2024","","com.swp391.koibe.controllers.StaffControllerTest","com.swp391.koibe.controllers.StaffControllerTest","getAllStaffs"
"","3","logout()","","Mon Nov 11 01:46:23 GMT 2024","passed","Mon Nov 11 01:46:23 GMT 2024","","com.swp391.koibe.controllers.UserControllerTest","com.swp391.koibe.controllers.UserControllerTest","logout"
