"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","sendAuctionClosedEmailToAllUser()","","Thu Nov 14 04:00:49 GMT 2024","passed","Thu Nov 14 04:00:49 GMT 2024","","com.swp391.koibe.services.auction.AuctionMailServiceTest","com.swp391.koibe.services.auction.AuctionMailServiceTest","sendAuctionClosedEmailToAllUser"
"","4","setOtpExpired()","","Thu Nov 14 04:00:51 GMT 2024","passed","Thu Nov 14 04:00:51 GMT 2024","","com.swp391.koibe.services.otp.OtpServiceTest","com.swp391.koibe.services.otp.OtpServiceTest","setOtpExpired"
"","4","sendBlockAccount()","","Thu Nov 14 04:00:25 GMT 2024","passed","Thu Nov 14 04:00:25 GMT 2024","","com.swp391.koibe.controllers.MailControllerTest","com.swp391.koibe.controllers.MailControllerTest","sendBlockAccount"
"","4","updateOrderWithDetails()","","Thu Nov 14 04:00:43 GMT 2024","passed","Thu Nov 14 04:00:43 GMT 2024","","com.swp391.koibe.services.order.OrderServiceTest","com.swp391.koibe.services.order.OrderServiceTest","updateOrderWithDetails"
"","6","createNewStaff()","","Thu Nov 14 04:00:21 GMT 2024","passed","Thu Nov 14 04:00:21 GMT 2024","","com.swp391.koibe.controllers.StaffControllerTest","com.swp391.koibe.controllers.StaffControllerTest","createNewStaff"
"","6","createFeedback()","","Thu Nov 14 04:00:39 GMT 2024","passed","Thu Nov 14 04:00:39 GMT 2024","","com.swp391.koibe.services.feedback.FeedbackServiceTest","com.swp391.koibe.services.feedback.FeedbackServiceTest","createFeedback"
"","5","createOrderPayment()","","Thu Nov 14 04:00:35 GMT 2024","passed","Thu Nov 14 04:00:35 GMT 2024","","com.swp391.koibe.services.payment.PaymentServiceTest","com.swp391.koibe.services.payment.PaymentServiceTest","createOrderPayment"
"","5","searchUserOrders()","","Thu Nov 14 04:00:43 GMT 2024","passed","Thu Nov 14 04:00:43 GMT 2024","","com.swp391.koibe.services.order.OrderServiceTest","com.swp391.koibe.services.order.OrderServiceTest","searchUserOrders"
"","6","updateCategory()","","Thu Nov 14 04:00:21 GMT 2024","passed","Thu Nov 14 04:00:21 GMT 2024","","com.swp391.koibe.controllers.CategoryControllerTest","com.swp391.koibe.controllers.CategoryControllerTest","updateCategory"
"","5","findByOrderId()","","Thu Nov 14 04:00:35 GMT 2024","passed","Thu Nov 14 04:00:35 GMT 2024","","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","findByOrderId"
"","3","createFeedback()","","Thu Nov 14 04:00:25 GMT 2024","passed","Thu Nov 14 04:00:25 GMT 2024","","com.swp391.koibe.controllers.FeedbackControllerTest","com.swp391.koibe.controllers.FeedbackControllerTest","createFeedback"
"","4","verifyOtpToVerifyUser()","","Thu Nov 14 04:00:43 GMT 2024","passed","Thu Nov 14 04:00:43 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","verifyOtpToVerifyUser"
"","2","updateOrderStatus()","","Thu Nov 14 04:00:21 GMT 2024","passed","Thu Nov 14 04:00:21 GMT 2024","","com.swp391.koibe.controllers.OrderControllerTest","com.swp391.koibe.controllers.OrderControllerTest","updateOrderStatus"
"","3","convertToAuctionKoiDTO()","","Thu Nov 14 04:00:52 GMT 2024","passed","Thu Nov 14 04:00:52 GMT 2024","","com.swp391.koibe.utils.DTOConverterTest","com.swp391.koibe.utils.DTOConverterTest","convertToAuctionKoiDTO"
"","4","updateUserBalance()","","Thu Nov 14 04:00:43 GMT 2024","passed","Thu Nov 14 04:00:43 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","updateUserBalance"
"","3","notifyAllUserUpcomingAuction()","","Thu Nov 14 04:00:21 GMT 2024","passed","Thu Nov 14 04:00:21 GMT 2024","","com.swp391.koibe.controllers.AuctionControllerTest","com.swp391.koibe.controllers.AuctionControllerTest","notifyAllUserUpcomingAuction"
"","3","updateAuctionKoi()","","Thu Nov 14 04:00:52 GMT 2024","passed","Thu Nov 14 04:00:52 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","updateAuctionKoi"
"","3","getKoiByKeyword()","","Thu Nov 14 04:00:52 GMT 2024","passed","Thu Nov 14 04:00:52 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getKoiByKeyword"
"","3","getKoiImagesByKoiId()","","Thu Nov 14 04:00:29 GMT 2024","passed","Thu Nov 14 04:00:29 GMT 2024","","com.swp391.koibe.services.koiimage.KoiImageServiceTest","com.swp391.koibe.services.koiimage.KoiImageServiceTest","getKoiImagesByKoiId"
"","7","deleteStaff()","","Thu Nov 14 04:00:21 GMT 2024","passed","Thu Nov 14 04:00:21 GMT 2024","","com.swp391.koibe.controllers.StaffControllerTest","com.swp391.koibe.controllers.StaffControllerTest","deleteStaff"
"","4","deleteMember()","","Thu Nov 14 04:00:46 GMT 2024","passed","Thu Nov 14 04:00:46 GMT 2024","","com.swp391.koibe.services.user.member.MemberServiceTest","com.swp391.koibe.services.user.member.MemberServiceTest","deleteMember"
"","3","updateOrder()","","Thu Nov 14 04:00:21 GMT 2024","passed","Thu Nov 14 04:00:21 GMT 2024","","com.swp391.koibe.controllers.OrderControllerTest","com.swp391.koibe.controllers.OrderControllerTest","updateOrder"
"","3","refreshToken()","","Thu Nov 14 04:00:29 GMT 2024","passed","Thu Nov 14 04:00:29 GMT 2024","","com.swp391.koibe.services.token.TokenServiceTest","com.swp391.koibe.services.token.TokenServiceTest","refreshToken"
"","4","findAuctionById()","","Thu Nov 14 04:00:49 GMT 2024","passed","Thu Nov 14 04:00:49 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","findAuctionById"
"","4","deleteKoi()","","Thu Nov 14 04:00:39 GMT 2024","passed","Thu Nov 14 04:00:39 GMT 2024","","com.swp391.koibe.services.koi.KoiServiceTest","com.swp391.koibe.services.koi.KoiServiceTest","deleteKoi"
"","3","updateUser()","","Thu Nov 14 04:00:43 GMT 2024","passed","Thu Nov 14 04:00:43 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","updateUser"
"","5","createPayment()","","Thu Nov 14 04:00:35 GMT 2024","passed","Thu Nov 14 04:00:35 GMT 2024","","com.swp391.koibe.services.payment.PaymentServiceTest","com.swp391.koibe.services.payment.PaymentServiceTest","createPayment"
"","3","createAscendingAuction()","","Thu Nov 14 04:00:49 GMT 2024","passed","Thu Nov 14 04:00:49 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","createAscendingAuction"
"","15","disableOtp()","","Thu Nov 14 04:00:51 GMT 2024","passed","Thu Nov 14 04:00:51 GMT 2024","","com.swp391.koibe.services.otp.OtpServiceTest","com.swp391.koibe.services.otp.OtpServiceTest","disableOtp"
"","4","sendEmailOtp()","","Thu Nov 14 04:00:49 GMT 2024","passed","Thu Nov 14 04:00:49 GMT 2024","","com.swp391.koibe.services.forgotpassword.ForgotPasswordServiceTest","com.swp391.koibe.services.forgotpassword.ForgotPasswordServiceTest","sendEmailOtp"
"","3","login()","","Thu Nov 14 04:00:26 GMT 2024","passed","Thu Nov 14 04:00:26 GMT 2024","","com.swp391.koibe.controllers.UserControllerTest","com.swp391.koibe.controllers.UserControllerTest","login"
"","3","getOrderDetail()","","Thu Nov 14 04:00:21 GMT 2024","passed","Thu Nov 14 04:00:21 GMT 2024","","com.swp391.koibe.controllers.OrderDetailControllerTest","com.swp391.koibe.controllers.OrderDetailControllerTest","getOrderDetail"
"","12","getKoisByBreederID()","","Thu Nov 14 04:00:48 GMT 2024","passed","Thu Nov 14 04:00:48 GMT 2024","","com.swp391.koibe.services.user.breeder.BreederServiceTest","com.swp391.koibe.services.user.breeder.BreederServiceTest","getKoisByBreederID"
"","3","testGetOrdersByStatus()","","Thu Nov 14 04:00:43 GMT 2024","passed","Thu Nov 14 04:00:43 GMT 2024","","com.swp391.koibe.services.order.OrderServiceTest","com.swp391.koibe.services.order.OrderServiceTest","testGetOrdersByStatus"
"","4","createMember()","","Thu Nov 14 04:00:46 GMT 2024","passed","Thu Nov 14 04:00:46 GMT 2024","","com.swp391.koibe.services.user.member.MemberServiceTest","com.swp391.koibe.services.user.member.MemberServiceTest","createMember"
"","4","placeBid()","","Thu Nov 14 04:00:40 GMT 2024","passed","Thu Nov 14 04:00:40 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","placeBid"
