"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","convertToKoiDTO()","","Sun Nov 10 13:40:42 GMT 2024","passed","Sun Nov 10 13:40:42 GMT 2024","","com.swp391.koibe.utils.DTOConverterTest","com.swp391.koibe.utils.DTOConverterTest","convertToKoiDTO"
"","3","updateFeedback()","","Sun Nov 10 13:40:15 GMT 2024","passed","Sun Nov 10 13:40:15 GMT 2024","","com.swp391.koibe.controllers.FeedbackControllerTest","com.swp391.koibe.controllers.FeedbackControllerTest","updateFeedback"
"","4","getAuctionByAuctioneerId()","","Sun Nov 10 13:40:37 GMT 2024","passed","Sun Nov 10 13:40:37 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","getAuctionByAuctioneerId"
"","3","deleteBreeder()","","Sun Nov 10 13:40:37 GMT 2024","passed","Sun Nov 10 13:40:37 GMT 2024","","com.swp391.koibe.services.user.breeder.BreederServiceTest","com.swp391.koibe.services.user.breeder.BreederServiceTest","deleteBreeder"
"","3","getOrderDetail()","","Sun Nov 10 13:40:11 GMT 2024","passed","Sun Nov 10 13:40:11 GMT 2024","","com.swp391.koibe.controllers.OrderDetailControllerTest","com.swp391.koibe.controllers.OrderDetailControllerTest","getOrderDetail"
"","3","deleteAuctionKoi()","","Sun Nov 10 13:40:40 GMT 2024","passed","Sun Nov 10 13:40:40 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","deleteAuctionKoi"
"","3","createFeedback()","","Sun Nov 10 13:40:15 GMT 2024","passed","Sun Nov 10 13:40:15 GMT 2024","","com.swp391.koibe.controllers.FeedbackControllerTest","com.swp391.koibe.controllers.FeedbackControllerTest","createFeedback"
"","6","getBiddingHistoryByAuctionKoiId()","","Sun Nov 10 13:40:11 GMT 2024","passed","Sun Nov 10 13:40:11 GMT 2024","","com.swp391.koibe.controllers.BiddingHistoryControllerTest","com.swp391.koibe.controllers.BiddingHistoryControllerTest","getBiddingHistoryByAuctionKoiId"
"","4","getOtpByEmailOtp()","","Sun Nov 10 13:40:40 GMT 2024","passed","Sun Nov 10 13:40:40 GMT 2024","","com.swp391.koibe.services.otp.OtpServiceTest","com.swp391.koibe.services.otp.OtpServiceTest","getOtpByEmailOtp"
"","3","getOrdersByKeyword()","","Sun Nov 10 13:40:15 GMT 2024","passed","Sun Nov 10 13:40:15 GMT 2024","","com.swp391.koibe.controllers.AuctionKoiControllerTest","com.swp391.koibe.controllers.AuctionKoiControllerTest","getOrdersByKeyword"
"","6","sendAuctionClosedEmailToAllUser()","","Sun Nov 10 13:40:10 GMT 2024","passed","Sun Nov 10 13:40:10 GMT 2024","","com.swp391.koibe.controllers.AuctionMailControllerTest","com.swp391.koibe.controllers.AuctionMailControllerTest","sendAuctionClosedEmailToAllUser"
"","21","createDepositPayment()","","Sun Nov 10 13:40:24 GMT 2024","passed","Sun Nov 10 13:40:24 GMT 2024","","com.swp391.koibe.services.payment.PaymentServiceTest","com.swp391.koibe.services.payment.PaymentServiceTest","createDepositPayment"
"","3","logout()","","Sun Nov 10 13:40:15 GMT 2024","passed","Sun Nov 10 13:40:15 GMT 2024","","com.swp391.koibe.controllers.UserControllerTest","com.swp391.koibe.controllers.UserControllerTest","logout"
"","5","authenticateGoogle()","","Sun Nov 10 13:40:11 GMT 2024","passed","Sun Nov 10 13:40:11 GMT 2024","","com.swp391.koibe.controllers.OAuth2ControllerTest","com.swp391.koibe.controllers.OAuth2ControllerTest","authenticateGoogle"
"","646","deleteCategory()","","Sun Nov 10 13:40:10 GMT 2024","passed","Sun Nov 10 13:40:10 GMT 2024","","com.swp391.koibe.controllers.CategoryControllerTest","com.swp391.koibe.controllers.CategoryControllerTest","deleteCategory"
"","5","createOtp()","","Sun Nov 10 13:40:40 GMT 2024","passed","Sun Nov 10 13:40:40 GMT 2024","","com.swp391.koibe.services.otp.OtpServiceTest","com.swp391.koibe.services.otp.OtpServiceTest","createOtp"
"","4","createOrderDetail()","","Sun Nov 10 13:40:24 GMT 2024","passed","Sun Nov 10 13:40:24 GMT 2024","","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","createOrderDetail"
"","2","sendOtp()","","Sun Nov 10 13:40:15 GMT 2024","passed","Sun Nov 10 13:40:15 GMT 2024","","com.swp391.koibe.controllers.MailControllerTest","com.swp391.koibe.controllers.MailControllerTest","sendOtp"
"","4","deleteAuctionKoi()","","Sun Nov 10 13:40:15 GMT 2024","passed","Sun Nov 10 13:40:15 GMT 2024","","com.swp391.koibe.controllers.AuctionKoiControllerTest","com.swp391.koibe.controllers.AuctionKoiControllerTest","deleteAuctionKoi"
"","4","confirmDelivery()","","Sun Nov 10 13:40:11 GMT 2024","passed","Sun Nov 10 13:40:11 GMT 2024","","com.swp391.koibe.controllers.OrderControllerTest","com.swp391.koibe.controllers.OrderControllerTest","confirmDelivery"
"","4","sendOrderCreatedEmailToUser()","","Sun Nov 10 13:40:32 GMT 2024","passed","Sun Nov 10 13:40:32 GMT 2024","","com.swp391.koibe.services.order.OrderMailServiceTest","com.swp391.koibe.services.order.OrderMailServiceTest","sendOrderCreatedEmailToUser"
"","3","forgotPassword()","","Sun Nov 10 13:40:11 GMT 2024","passed","Sun Nov 10 13:40:11 GMT 2024","","com.swp391.koibe.controllers.ForgotPasswordControllerTest","com.swp391.koibe.controllers.ForgotPasswordControllerTest","forgotPassword"
"","4","updateUser()","","Sun Nov 10 13:40:32 GMT 2024","passed","Sun Nov 10 13:40:32 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","updateUser"
"","6","validateAuctionTimes()","","Sun Nov 10 13:40:40 GMT 2024","passed","Sun Nov 10 13:40:40 GMT 2024","","com.swp391.koibe.utils.DateTimeUtilsTest","com.swp391.koibe.utils.DateTimeUtilsTest","validateAuctionTimes"
"","4","getUserDetailsFromToken()","","Sun Nov 10 13:40:32 GMT 2024","passed","Sun Nov 10 13:40:32 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","getUserDetailsFromToken"
"","5","updateCategory()","","Sun Nov 10 13:40:10 GMT 2024","passed","Sun Nov 10 13:40:10 GMT 2024","","com.swp391.koibe.controllers.CategoryControllerTest","com.swp391.koibe.controllers.CategoryControllerTest","updateCategory"
"","3","getBreeder()","","Sun Nov 10 13:40:11 GMT 2024","passed","Sun Nov 10 13:40:11 GMT 2024","","com.swp391.koibe.controllers.BreederControllerTest","com.swp391.koibe.controllers.BreederControllerTest","getBreeder"
"","4","createPaymentAndUpdateOrder()","","Sun Nov 10 13:40:24 GMT 2024","passed","Sun Nov 10 13:40:24 GMT 2024","","com.swp391.koibe.services.payment.PaymentServiceTest","com.swp391.koibe.services.payment.PaymentServiceTest","createPaymentAndUpdateOrder"
"","85","testGetRoleById_Success()","","Sun Nov 10 13:40:15 GMT 2024","passed","Sun Nov 10 13:40:15 GMT 2024","","com.swp391.koibe.controllers.RoleControllerTest","com.swp391.koibe.controllers.RoleControllerTest","testGetRoleById_Success"
"","3","getAuctionByStatus()","","Sun Nov 10 13:40:37 GMT 2024","passed","Sun Nov 10 13:40:37 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","getAuctionByStatus"
"","4","updateProduct()","","Sun Nov 10 13:40:11 GMT 2024","passed","Sun Nov 10 13:40:11 GMT 2024","","com.swp391.koibe.controllers.KoiControllerTest","com.swp391.koibe.controllers.KoiControllerTest","updateProduct"
"","3","getAllKois()","","Sun Nov 10 13:40:11 GMT 2024","passed","Sun Nov 10 13:40:11 GMT 2024","","com.swp391.koibe.controllers.KoiControllerTest","com.swp391.koibe.controllers.KoiControllerTest","getAllKois"
"","3","createAuction()","","Sun Nov 10 13:40:11 GMT 2024","passed","Sun Nov 10 13:40:11 GMT 2024","","com.swp391.koibe.controllers.AuctionControllerTest","com.swp391.koibe.controllers.AuctionControllerTest","createAuction"
"","4","deleteFeedback()","","Sun Nov 10 13:40:28 GMT 2024","passed","Sun Nov 10 13:40:28 GMT 2024","","com.swp391.koibe.services.feedback.FeedbackServiceTest","com.swp391.koibe.services.feedback.FeedbackServiceTest","deleteFeedback"
"","4","getOrderDetails()","","Sun Nov 10 13:40:11 GMT 2024","passed","Sun Nov 10 13:40:11 GMT 2024","","com.swp391.koibe.controllers.OrderDetailControllerTest","com.swp391.koibe.controllers.OrderDetailControllerTest","getOrderDetails"
"","4","getBidsByAuctionKoiId()","","Sun Nov 10 13:40:28 GMT 2024","passed","Sun Nov 10 13:40:28 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","getBidsByAuctionKoiId"
"","4","getAuctionsByKeyword()","","Sun Nov 10 13:40:11 GMT 2024","passed","Sun Nov 10 13:40:11 GMT 2024","","com.swp391.koibe.controllers.AuctionControllerTest","com.swp391.koibe.controllers.AuctionControllerTest","getAuctionsByKeyword"
"","4","processBid()","","Sun Nov 10 13:40:11 GMT 2024","passed","Sun Nov 10 13:40:11 GMT 2024","","com.swp391.koibe.controllers.BiddingHistoryControllerTest","com.swp391.koibe.controllers.BiddingHistoryControllerTest","processBid"
"","4","sendRefundEmail()","","Sun Nov 10 13:40:28 GMT 2024","passed","Sun Nov 10 13:40:28 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryEmailServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryEmailServiceTest","sendRefundEmail"
