"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","89","testUpdateRole_NotFound()","","Mon Nov 11 14:50:28 GMT 2024","passed","Mon Nov 11 14:50:28 GMT 2024","","com.swp391.koibe.controllers.RoleControllerTest","com.swp391.koibe.controllers.RoleControllerTest","testUpdateRole_NotFound"
"","3","getAuctionKoiByAuctionId()","","Mon Nov 11 14:50:57 GMT 2024","passed","Mon Nov 11 14:50:57 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getAuctionKoiByAuctionId"
"","4","getOrderDetail()","","Mon Nov 11 14:50:25 GMT 2024","passed","Mon Nov 11 14:50:25 GMT 2024","","com.swp391.koibe.controllers.OrderDetailControllerTest","com.swp391.koibe.controllers.OrderDetailControllerTest","getOrderDetail"
"","4","logout()","","Mon Nov 11 14:50:30 GMT 2024","passed","Mon Nov 11 14:50:30 GMT 2024","","com.swp391.koibe.controllers.UserControllerTest","com.swp391.koibe.controllers.UserControllerTest","logout"
"","5","updateUser()","","Mon Nov 11 14:50:48 GMT 2024","passed","Mon Nov 11 14:50:48 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","updateUser"
"","5","getFeedbackByOrderId()","","Mon Nov 11 14:50:30 GMT 2024","passed","Mon Nov 11 14:50:30 GMT 2024","","com.swp391.koibe.controllers.FeedbackControllerTest","com.swp391.koibe.controllers.FeedbackControllerTest","getFeedbackByOrderId"
"","6","generateFakeKoiImages()","","Mon Nov 11 14:50:25 GMT 2024","passed","Mon Nov 11 14:50:25 GMT 2024","","com.swp391.koibe.controllers.KoiImageControllerTest","com.swp391.koibe.controllers.KoiImageControllerTest","generateFakeKoiImages"
"","4","updateAccountBalance()","","Mon Nov 11 14:50:48 GMT 2024","passed","Mon Nov 11 14:50:48 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","updateAccountBalance"
"","4","deleteKoiImage()","","Mon Nov 11 14:50:33 GMT 2024","passed","Mon Nov 11 14:50:33 GMT 2024","","com.swp391.koibe.services.koiimage.KoiImageServiceTest","com.swp391.koibe.services.koiimage.KoiImageServiceTest","deleteKoiImage"
"","3","updateAuctionKoiStatus()","","Mon Nov 11 14:50:57 GMT 2024","passed","Mon Nov 11 14:50:57 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","updateAuctionKoiStatus"
"","33","testDeleteRole_Success()","","Mon Nov 11 14:50:29 GMT 2024","passed","Mon Nov 11 14:50:29 GMT 2024","","com.swp391.koibe.controllers.RoleControllerTest","com.swp391.koibe.controllers.RoleControllerTest","testDeleteRole_Success"
"","2425","testDeleteRole_NotFound()","","Mon Nov 11 14:50:25 GMT 2024","passed","Mon Nov 11 14:50:28 GMT 2024","","com.swp391.koibe.controllers.RoleControllerTest","com.swp391.koibe.controllers.RoleControllerTest","testDeleteRole_NotFound"
"","4","getPaymentByUserIdAndStatus()","","Mon Nov 11 14:50:30 GMT 2024","passed","Mon Nov 11 14:50:30 GMT 2024","","com.swp391.koibe.controllers.PaymentControllerTest","com.swp391.koibe.controllers.PaymentControllerTest","getPaymentByUserIdAndStatus"
"","4","placeBid()","","Mon Nov 11 14:50:44 GMT 2024","passed","Mon Nov 11 14:50:44 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","placeBid"
"","6","getAllUsers()","","Mon Nov 11 14:50:48 GMT 2024","passed","Mon Nov 11 14:50:48 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","getAllUsers"
"","2","convertToUserDTO()","","Mon Nov 11 14:50:59 GMT 2024","passed","Mon Nov 11 14:50:59 GMT 2024","","com.swp391.koibe.utils.DTOConverterTest","com.swp391.koibe.utils.DTOConverterTest","convertToUserDTO"
"","4","testGetAllBreeders()","","Mon Nov 11 14:50:25 GMT 2024","passed","Mon Nov 11 14:50:25 GMT 2024","","com.swp391.koibe.controllers.BreederControllerTest","com.swp391.koibe.controllers.BreederControllerTest","testGetAllBreeders"
"","4","getAllUsersJoinAuction()","","Mon Nov 11 14:50:25 GMT 2024","passed","Mon Nov 11 14:50:25 GMT 2024","","com.swp391.koibe.controllers.AuctionParticipantControllerTest","com.swp391.koibe.controllers.AuctionParticipantControllerTest","getAllUsersJoinAuction"
"","5","createOtp()","","Mon Nov 11 14:50:57 GMT 2024","passed","Mon Nov 11 14:50:57 GMT 2024","","com.swp391.koibe.services.otp.OtpServiceTest","com.swp391.koibe.services.otp.OtpServiceTest","createOtp"
"","15","updateKoiImage()","","Mon Nov 11 14:50:33 GMT 2024","passed","Mon Nov 11 14:50:33 GMT 2024","","com.swp391.koibe.services.koiimage.KoiImageServiceTest","com.swp391.koibe.services.koiimage.KoiImageServiceTest","updateKoiImage"
"","2","findAuctionById()","","Mon Nov 11 14:50:54 GMT 2024","passed","Mon Nov 11 14:50:54 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","findAuctionById"
