"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 25 08:47:10 GMT 2024","Fri Oct 25 08:47:10 GMT 2024","10","","com.swp391.koibe.services.koi.KoiServiceTest","","com.swp391.koibe.services.koi.KoiServiceTest","createKoiImage","createKoiImage()",""
"passed","Fri Oct 25 08:47:10 GMT 2024","Fri Oct 25 08:47:10 GMT 2024","14","","com.swp391.koibe.services.koi.KoiServiceTest","","com.swp391.koibe.services.koi.KoiServiceTest","updateKoi","updateKoi()",""
"passed","Fri Oct 25 08:47:07 GMT 2024","Fri Oct 25 08:47:07 GMT 2024","5","","com.swp391.koibe.services.role.RoleServiceTest","","com.swp391.koibe.services.role.RoleServiceTest","testGetRoleById","testGetRoleById()",""
"passed","Fri Oct 25 08:47:06 GMT 2024","Fri Oct 25 08:47:06 GMT 2024","138","","com.swp391.koibe.services.role.RoleServiceTest","","com.swp391.koibe.services.role.RoleServiceTest","testGetAllRoles","testGetAllRoles()",""
"passed","Fri Oct 25 08:47:17 GMT 2024","Fri Oct 25 08:47:17 GMT 2024","4","","com.swp391.koibe.utils.DTOConverterTest","","com.swp391.koibe.utils.DTOConverterTest","convertToAuctionKoiDTO","convertToAuctionKoiDTO()",""
"passed","Fri Oct 25 08:47:07 GMT 2024","Fri Oct 25 08:47:07 GMT 2024","6","","com.swp391.koibe.services.role.RoleServiceTest","","com.swp391.koibe.services.role.RoleServiceTest","testCreateRole","testCreateRole()",""
"passed","Fri Oct 25 08:47:12 GMT 2024","Fri Oct 25 08:47:12 GMT 2024","10","","com.swp391.koibe.services.category.CategoryServiceTest","","com.swp391.koibe.services.category.CategoryServiceTest","update","update()",""
"passed","Fri Oct 25 08:47:12 GMT 2024","Fri Oct 25 08:47:12 GMT 2024","32","","com.swp391.koibe.services.category.CategoryServiceTest","","com.swp391.koibe.services.category.CategoryServiceTest","delete","delete()",""
"passed","Fri Oct 25 08:47:12 GMT 2024","Fri Oct 25 08:47:12 GMT 2024","13","","com.swp391.koibe.services.category.CategoryServiceTest","","com.swp391.koibe.services.category.CategoryServiceTest","getById","getById()",""
"passed","Fri Oct 25 08:47:17 GMT 2024","Fri Oct 25 08:47:17 GMT 2024","4","","com.swp391.koibe.utils.DTOConverterTest","","com.swp391.koibe.utils.DTOConverterTest","convertToBidDTO","convertToBidDTO()",""
"passed","Fri Oct 25 08:47:15 GMT 2024","Fri Oct 25 08:47:15 GMT 2024","12","","com.swp391.koibe.utils.DateTimeUtilsTest","","com.swp391.koibe.utils.DateTimeUtilsTest","parseTime","parseTime()",""
"passed","Fri Oct 25 08:47:12 GMT 2024","Fri Oct 25 08:47:12 GMT 2024","8","","com.swp391.koibe.services.category.CategoryServiceTest","","com.swp391.koibe.services.category.CategoryServiceTest","createCategory","createCategory()",""
"passed","Fri Oct 25 08:47:17 GMT 2024","Fri Oct 25 08:47:17 GMT 2024","4","","com.swp391.koibe.utils.DTOConverterTest","","com.swp391.koibe.utils.DTOConverterTest","convertToAuctionDTO","convertToAuctionDTO()",""
"passed","Fri Oct 25 08:47:15 GMT 2024","Fri Oct 25 08:47:15 GMT 2024","5","","com.swp391.koibe.utils.DateTimeUtilsTest","","com.swp391.koibe.utils.DateTimeUtilsTest","validateAuctionTimes","validateAuctionTimes()",""
"passed","Fri Oct 25 08:47:10 GMT 2024","Fri Oct 25 08:47:10 GMT 2024","6","","com.swp391.koibe.services.koi.KoiServiceTest","","com.swp391.koibe.services.koi.KoiServiceTest","deleteKoi","deleteKoi()",""
"passed","Fri Oct 25 08:47:17 GMT 2024","Fri Oct 25 08:47:17 GMT 2024","4","","com.swp391.koibe.utils.DTOConverterTest","","com.swp391.koibe.utils.DTOConverterTest","convertToKoiDTO","convertToKoiDTO()",""
"passed","Fri Oct 25 08:47:12 GMT 2024","Fri Oct 25 08:47:12 GMT 2024","19","","com.swp391.koibe.services.category.CategoryServiceTest","","com.swp391.koibe.services.category.CategoryServiceTest","getAllCategories","getAllCategories()",""
"passed","Fri Oct 25 08:47:10 GMT 2024","Fri Oct 25 08:47:10 GMT 2024","6","","com.swp391.koibe.services.koi.KoiServiceTest","","com.swp391.koibe.services.koi.KoiServiceTest","testGetAllKois","testGetAllKois()",""
"passed","Fri Oct 25 08:47:10 GMT 2024","Fri Oct 25 08:47:10 GMT 2024","19","","com.swp391.koibe.services.koi.KoiServiceTest","","com.swp391.koibe.services.koi.KoiServiceTest","getKoiById","getKoiById()",""
"passed","Fri Oct 25 08:47:07 GMT 2024","Fri Oct 25 08:47:07 GMT 2024","11","","com.swp391.koibe.services.role.RoleServiceTest","","com.swp391.koibe.services.role.RoleServiceTest","testUpdateRole","testUpdateRole()",""
"passed","Fri Oct 25 08:47:07 GMT 2024","Fri Oct 25 08:47:07 GMT 2024","9","","com.swp391.koibe.services.role.RoleServiceTest","","com.swp391.koibe.services.role.RoleServiceTest","testDeleteRole","testDeleteRole()",""
"passed","Fri Oct 25 08:47:17 GMT 2024","Fri Oct 25 08:47:17 GMT 2024","5","","com.swp391.koibe.utils.DTOConverterTest","","com.swp391.koibe.utils.DTOConverterTest","convertToUserDTO","convertToUserDTO()",""
"passed","Fri Oct 25 08:47:10 GMT 2024","Fri Oct 25 08:47:10 GMT 2024","9","","com.swp391.koibe.services.koi.KoiServiceTest","","com.swp391.koibe.services.koi.KoiServiceTest","getAllKois","getAllKois()",""
"passed","Fri Oct 25 08:47:17 GMT 2024","Fri Oct 25 08:47:17 GMT 2024","10","","com.swp391.koibe.utils.DTOConverterTest","","com.swp391.koibe.utils.DTOConverterTest","convertToKoiImageDTO","convertToKoiImageDTO()",""
"passed","Fri Oct 25 08:47:10 GMT 2024","Fri Oct 25 08:47:10 GMT 2024","6","","com.swp391.koibe.services.koi.KoiServiceTest","","com.swp391.koibe.services.koi.KoiServiceTest","existsByName","existsByName()",""
"passed","Fri Oct 25 08:47:15 GMT 2024","Fri Oct 25 08:47:15 GMT 2024","5","","com.swp391.koibe.utils.DateTimeUtilsTest","","com.swp391.koibe.utils.DateTimeUtilsTest","isAuctionActive","isAuctionActive()",""
"passed","Fri Oct 25 08:47:10 GMT 2024","Fri Oct 25 08:47:10 GMT 2024","8","","com.swp391.koibe.services.koi.KoiServiceTest","","com.swp391.koibe.services.koi.KoiServiceTest","createKoi","createKoi()",""
