"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 27 02:12:33 GMT 2024","Sun Oct 27 02:12:33 GMT 2024","3","","com.swp391.koibe.services.auction.AuctionServiceTest","","com.swp391.koibe.services.auction.AuctionServiceTest","creatSealedAuction","creatSealedAuction()",""
"passed","Sun Oct 27 02:12:13 GMT 2024","Sun Oct 27 02:12:13 GMT 2024","6","","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","getAllUserJoinAuction","getAllUserJoinAuction()",""
"passed","Sun Oct 27 02:12:19 GMT 2024","Sun Oct 27 02:12:19 GMT 2024","7","","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","testCreateOrderDetail","testCreateOrderDetail()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","4","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","createAuctionKoiV2","createAuctionKoiV2()",""
"passed","Sun Oct 27 02:12:19 GMT 2024","Sun Oct 27 02:12:19 GMT 2024","6","","com.swp391.koibe.services.payment.PaymentServiceTest","","com.swp391.koibe.services.payment.PaymentServiceTest","createPaymentAndUpdateOrder","createPaymentAndUpdateOrder()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","5","","com.swp391.koibe.services.koi.KoiServiceTest","","com.swp391.koibe.services.koi.KoiServiceTest","getKoiById","getKoiById()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","3","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","deleteAuctionKoi","deleteAuctionKoi()",""
"passed","Sun Oct 27 02:12:26 GMT 2024","Sun Oct 27 02:12:26 GMT 2024","33","","com.swp391.koibe.services.category.CategoryServiceTest","","com.swp391.koibe.services.category.CategoryServiceTest","delete","delete()",""
"passed","Sun Oct 27 02:12:32 GMT 2024","Sun Oct 27 02:12:32 GMT 2024","4","","com.swp391.koibe.services.user.staff.StaffServiceTest","","com.swp391.koibe.services.user.staff.StaffServiceTest","findById","findById()",""
"passed","Sun Oct 27 02:12:33 GMT 2024","Sun Oct 27 02:12:33 GMT 2024","3","","com.swp391.koibe.services.auction.AuctionServiceTest","","com.swp391.koibe.services.auction.AuctionServiceTest","getAuctionOnStatus","getAuctionOnStatus()",""
"passed","Sun Oct 27 02:12:19 GMT 2024","Sun Oct 27 02:12:19 GMT 2024","7","","com.swp391.koibe.services.payment.PaymentServiceTest","","com.swp391.koibe.services.payment.PaymentServiceTest","createDrawOutRequest","createDrawOutRequest()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","2","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getAllAuctionKois","getAllAuctionKois()",""
"passed","Sun Oct 27 02:12:19 GMT 2024","Sun Oct 27 02:12:19 GMT 2024","6","","com.swp391.koibe.services.payment.PaymentServiceTest","","com.swp391.koibe.services.payment.PaymentServiceTest","testUpdatePaymentStatus","testUpdatePaymentStatus()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","3","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getAuctionKoiIsNotSold","getAuctionKoiIsNotSold()",""
"passed","Sun Oct 27 02:12:33 GMT 2024","Sun Oct 27 02:12:33 GMT 2024","3","","com.swp391.koibe.services.auction.AuctionServiceTest","","com.swp391.koibe.services.auction.AuctionServiceTest","testGetAllAuctions","testGetAllAuctions()",""
"passed","Sun Oct 27 02:12:13 GMT 2024","Sun Oct 27 02:12:13 GMT 2024","6","","com.swp391.koibe.services.koiimage.KoiImageServiceTest","","com.swp391.koibe.services.koiimage.KoiImageServiceTest","getAllKoiImages","getAllKoiImages()",""
"passed","Sun Oct 27 02:12:26 GMT 2024","Sun Oct 27 02:12:26 GMT 2024","9","","com.swp391.koibe.services.category.CategoryServiceTest","","com.swp391.koibe.services.category.CategoryServiceTest","createCategory","createCategory()",""
"passed","Sun Oct 27 02:12:19 GMT 2024","Sun Oct 27 02:12:19 GMT 2024","121","","com.swp391.koibe.services.role.RoleServiceTest","","com.swp391.koibe.services.role.RoleServiceTest","testGetAllRoles","testGetAllRoles()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","3","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","revokeKoiInAuction","revokeKoiInAuction()",""
"passed","Sun Oct 27 02:12:38 GMT 2024","Sun Oct 27 02:12:38 GMT 2024","4","","com.swp391.koibe.utils.DTOConverterTest","","com.swp391.koibe.utils.DTOConverterTest","convertToAuctionKoiDTO","convertToAuctionKoiDTO()",""
"passed","Sun Oct 27 02:12:26 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","5","","com.swp391.koibe.services.order.OrderServiceTest","","com.swp391.koibe.services.order.OrderServiceTest","cancelOrder","cancelOrder()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","5","","com.swp391.koibe.utils.DateTimeUtilsTest","","com.swp391.koibe.utils.DateTimeUtilsTest","isAuctionActive","isAuctionActive()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","5","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","ascending","ascending()",""
"passed","Sun Oct 27 02:12:27 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","5","","com.swp391.koibe.services.user.UserServiceTest","","com.swp391.koibe.services.user.UserServiceTest","loginOrRegisterGoogle","loginOrRegisterGoogle()",""
"passed","Sun Oct 27 02:12:27 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","4","","com.swp391.koibe.services.user.UserServiceTest","","com.swp391.koibe.services.user.UserServiceTest","findAll","findAll()",""
"passed","Sun Oct 27 02:12:30 GMT 2024","Sun Oct 27 02:12:30 GMT 2024","3","","com.swp391.koibe.services.user.member.MemberServiceTest","","com.swp391.koibe.services.user.member.MemberServiceTest","getAllMembers","getAllMembers()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","5","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","getBidsByAuctionKoiId","getBidsByAuctionKoiId()",""
